"Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Date Range","Mean Travel Time (Seconds)","Range - Lower Bound Travel Time (Seconds)","Range - Upper Bound Travel Time (Seconds)"
"3780","100072 (3780)","3589","100192 (3589)","3/1/2018 - 3/31/2018, Weekdays, Daily Average",444,302,651
"3780","100072 (3780)","3590","100016 (3590)","3/1/2018 - 3/31/2018, Weekdays, Daily Average",819,576,1163
"3780","100072 (3780)","3592","100223 (3592)","3/1/2018 - 3/31/2018, Weekdays, Daily Average",592,418,837
"3780","100072 (3780)","3594","100352 (3594)","3/1/2018 - 3/31/2018, Weekdays, Daily Average",689,502,944
"3780","100072 (3780)","3595","100193 (3595)","3/1/2018 - 3/31/2018, Weekdays, Daily Average",433,284,658
"3780","100072 (3780)","3596","100017 (3596)","3/1/2018 - 3/31/2018, Weekdays, Daily Average",776,542,1109
"3780","100072 (3780)","3597","10001A (3597)","3/1/2018 - 3/31/2018, Weekdays, Daily Average",748,495,1129
"3780","100072 (3780)","3598","100019 (3598)","3/1/2018 - 3/31/2018, Weekdays, Daily Average",787,536,1155
"3780","100072 (3780)","3599","100014 (3599)","3/1/2018 - 3/31/2018, Weekdays, Daily Average",765,537,1089
"3780","100072 (3780)","3600","100096 (3600)","3/1/2018 - 3/31/2018, Weekdays, Daily Average",555,381,807
"3780","100072 (3780)","3601","407010 (3601)","3/1/2018 - 3/31/2018, Weekdays, Daily Average",1785,1329,2396
"3780","100072 (3780)","3602","100015 (3602)","3/1/2018 - 3/31/2018, Weekdays, Daily Average",823,571,1184
"3780","100072 (3780)","3603","10001I (3603)","3/1/2018 - 3/31/2018, Weekdays, Daily Average",626,431,908
"3780","100072 (3780)","3604","100353 (3604)","3/1/2018 - 3/31/2018, Weekdays, Daily Average",665,478,923
"3780","100072 (3780)","3605","10001B (3605)","3/1/2018 - 3/31/2018, Weekdays, Daily Average",674,450,1008
"3780","100072 (3780)","3606","100092 (3606)","3/1/2018 - 3/31/2018, Weekdays, Daily Average",605,409,893
"3780","100072 (3780)","3607","100018 (3607)","3/1/2018 - 3/31/2018, Weekdays, Daily Average",778,538,1123
"3780","100072 (3780)","3608","10001H (3608)","3/1/2018 - 3/31/2018, Weekdays, Daily Average",739,495,1102
"3780","100072 (3780)","3610","100364 (3610)","3/1/2018 - 3/31/2018, Weekdays, Daily Average",1034,781,1368
"3780","100072 (3780)","3611","406655 (3611)","3/1/2018 - 3/31/2018, Weekdays, Daily Average",1527,1087,2144
"3780","100072 (3780)","3612","10001G (3612)","3/1/2018 - 3/31/2018, Weekdays, Daily Average",743,523,1053
"3780","100072 (3780)","3613","10036A (3613)","3/1/2018 - 3/31/2018, Weekdays, Daily Average",820,610,1101
"3780","100072 (3780)","3614","10001F (3614)","3/1/2018 - 3/31/2018, Weekdays, Daily Average",794,550,1145
"3780","100072 (3780)","3615","100094 (3615)","3/1/2018 - 3/31/2018, Weekdays, Daily Average",588,406,849
"3780","100072 (3780)","3617","100097 (3617)","3/1/2018 - 3/31/2018, Weekdays, Daily Average",532,361,783
"3780","100072 (3780)","3619","100211 (3619)","3/1/2018 - 3/31/2018, Weekdays, Daily Average",571,399,815
"3780","100072 (3780)","3620","10001E (3620)","3/1/2018 - 3/31/2018, Weekdays, Daily Average",751,510,1104
"3780","100072 (3780)","3621","10001D (3621)","3/1/2018 - 3/31/2018, Weekdays, Daily Average",777,547,1102
"3780","100072 (3780)","3622","10001C (3622)","3/1/2018 - 3/31/2018, Weekdays, Daily Average",703,470,1049
